trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
349,False,"{'a': 0.01, 'e': 0.030496143214677442}",20,10,19.103373813536905,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.01, 'e': 0.03019279422333893}",25,13,19.127788795218887,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.01, 'e': 0.029892460865253222}",30,2,2.4330246329084866,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
352,False,"{'a': 0.01, 'e': 0.02959511321532881}",20,5,24.521011437720436,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.01, 'e': 0.029300721643841416}",25,18,11.068306505264196,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.01, 'e': 0.02900925681356582}",35,9,37.05127534391221,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.01, 'e': 0.02872068967693394}",20,13,9.988558521193168,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.01, 'e': 0.028434991473219366}",25,10,-15.156657502672775,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
357,False,"{'a': 0.01, 'e': 0.02815213372574777}",20,1,22.229609025650568,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.01, 'e': 0.027872088239133282}",20,0,29.97287700469575,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.01, 'e': 0.02759482709654044}",20,0,26.38499680584449,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
360,False,"{'a': 0.01, 'e': 0.027320322656971607}",30,12,29.696602496156807,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.01, 'e': 0.02704854755257969}",20,16,5.799439149351173,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.01, 'e': 0.02677947468600578}",20,9,15.91500858315881,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.01, 'e': 0.026513077227741808}",20,13,13.471966968413078,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.01, 'e': 0.026249328613517656}",20,11,13.098231171949019,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.01, 'e': 0.02598820254171291}",25,0,29.922864901058777,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
366,False,"{'a': 0.01, 'e': 0.025729672970792688}",25,17,15.691506890544389,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.01, 'e': 0.025473714116767725}",20,9,8.387705669608643,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
368,False,"{'a': 0.01, 'e': 0.025220300450678072}",30,21,16.920184993274685,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.01, 'e': 0.024969406696100694}",25,0,35.81627688216782,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
370,False,"{'a': 0.01, 'e': 0.024721007826680373}",20,0,27.50528329898474,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
371,False,"{'a': 0.01, 'e': 0.02447507906368399}",30,0,14.889601507472705,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
372,False,"{'a': 0.01, 'e': 0.02423159587357779}",25,5,28.19230563388137,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.01, 'e': 0.023990533965627673}",20,10,15.597592840707904,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.01, 'e': 0.023751869289522}",25,16,16.078332358315386,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.01, 'e': 0.02351557803301708}",20,12,13.00278274653547,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.01, 'e': 0.02328163661960487}",20,1,27.573028323449872,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.01, 'e': 0.02305002170620283}",20,10,21.636637365326354,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.01, 'e': 0.022820710180865702}",20,9,18.465528780859653,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.01, 'e': 0.022593679160519107}",25,11,23.743288159479317,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
